"","V1","V2"
"1",1335531,1335531
"2",1331987.26180704,1331987.26180704
"3",1328479.35992768,1328479.35992768
"4",1325006.92967372,1325006.92967372
"5",1321569.61010027,1321569.61010027
"6",1318167.04396688,1318167.04396688
"7",1314798.87769911,1314798.87769911
"8",1311464.76135043,1311464.76135043
"9",1308164.34856458,1308164.34856458
"10",1304897.29653834,1304897.29653834
"11",1301663.26598465,1301663.26598465
"12",1298461.92109612,1298461.92109612
"13",1295292.92950896,1295292.92950896
"14",1292155.96226727,1292155.96226727
"15",1289050.69378767,1289050.69378767
"16",1285976.80182437,1285976.80182437
"17",1282933.96743459,1282933.96743459
"18",1279921.87494427,1279921.87494427
"19",1276940.21191423,1276940.21191423
"20",1273988.66910668,1273988.66910668
"21",1271066.94045201,1271066.94045201
"22",1268174.723016,1268174.723016
"23",1265311.71696735,1265311.71696735
"24",1262477.62554554,1262477.62554554
"25",1259672.15502905,1259672.15502905
"26",1256895.01470387,1256895.01470387
"27",1254145.91683244,1254145.91683244
"28",1251424.57662278,1251424.57662278
"29",1248730.71219804,1248730.71219804
"30",1246064.04456636,1246064.04456636
"31",1243424.29759098,1243424.29759098
"32",1240811.19796078,1240811.19796078
"33",1238224.47516098,1238224.47516098
"34",1235663.86144432,1235663.86144432
"35",1233129.09180235,1233129.09180235
"36",1230619.90393722,1230619.90393722
"37",1228136.03823359,1228136.03823359
"38",1225677.23773095,1225677.23773095
"39",1223243.24809617,1223243.24809617
"40",1220833.8175964,1220833.8175964
"41",1218448.69707214,1218448.69707214
"42",1216087.63991074,1216087.63991074
"43",1213750.40202006,1213750.40202006
"44",1211436.74180245,1211436.74180245
"45",1209146.420129,1209146.420129
"46",1206879.20031408,1206879.20031408
"47",1204634.8480901,1204634.8480901
"48",1202413.13158258,1202413.13158258
"49",1200213.82128542,1200213.82128542
"50",1198036.69003652,1198036.69003652
"51",1195881.51299359,1195881.51299359
"52",1193748.06761018,1193748.06761018
"53",1191636.13361208,1191636.13361208
"54",1189545.49297383,1189545.49297383
"55",1187475.92989558,1187475.92989558
"56",1185427.23078013,1185427.23078013
"57",1183399.18421022,1183399.18421022
"58",1181391.5809261,1181391.5809261
"59",1179404.21380328,1179404.21380328
"60",1177436.87783051,1177436.87783051
"61",1175489.37008808,1175489.37008808
"62",1173561.48972619,1173561.48972619
"63",1171653.03794371,1171653.03794371
"64",1169763.81796705,1169763.81796705
"65",1167893.63502931,1167893.63502931
"66",1166042.29634957,1166042.29634957
"67",1164209.61111253,1164209.61111253
"68",1162395.39044821,1162395.39044821
"69",1160599.44741199,1160599.44741199
"70",1158821.59696475,1158821.59696475
"71",1157061.6559533,1157061.6559533
"72",1155319.44309099,1155319.44309099
"73",1153594.77893847,1153594.77893847
"74",1151887.48588477,1151887.48588477
"75",1150197.3881284,1150197.3881284
"76",1148524.31165884,1148524.31165884
"77",1146868.08423808,1146868.08423808
"78",1145228.53538241,1145228.53538241
"79",1143605.49634442,1143605.49634442
"80",1141998.80009511,1141998.80009511
"81",1140408.28130627,1140408.28130627
"82",1138833.77633301,1138833.77633301
"83",1137275.12319645,1137275.12319645
"84",1135732.16156662,1135732.16156662
"85",1134204.73274552,1134204.73274552
"86",1132692.6796504,1132692.6796504
"87",1131195.84679711,1131195.84679711
"88",1129714.08028374,1129714.08028374
"89",1128247.22777439,1128247.22777439
"90",1126795.13848305,1126795.13848305
"91",1125357.66315774,1125357.66315774
"92",1123934.65406473,1123934.65406473
"93",1122525.96497301,1122525.96497301
"94",1121131.45113884,1121131.45113884
"95",1119750.96929051,1119750.96929051
"96",1118384.37761325,1118384.37761325
"97",1117031.53573427,1117031.53573427
"98",1115692.304708,1115692.304708
"99",1114366.54700143,1114366.54700143
"100",1113054.12647966,1113054.12647966
"101",1111754.90839155,1111754.90839155
"102",1971568.17839581,1971568.17839581
"103",2702216.08938781,2702216.08938781
"104",3321905.29969641,3321905.29969641
"105",3846287.70878322,3846287.70878322
"106",4288818.82166073,4288818.82166073
"107",4661065.84559325,4661065.84559325
"108",4972972.57011227,4972972.57011227
"109",5233087.09233265,5233087.09233265
"110",5448757.59924366,5448757.59924366
"111",5626300.68761017,5626300.68761017
"112",5771146.07362196,5771146.07362196
"113",5887961.00409193,5887961.00409193
"114",5980757.21645878,5980757.21645878
"115",6052982.89546668,6052982.89546668
"116",6107601.73103231,6107601.73103231
"117",6147160.88661096,6147160.88661096
"118",6173849.433582,6173849.433582
"119",6189548.58898185,6189548.58898185
"120",6195874.90632629,6195874.90632629
"121",6194217.40798981,6194217.40798981
"122",6185769.50895828,6185769.50895828
"123",6171556.46256735,6171556.46256735
"124",6152458.95635667,6152458.95635667
"125",6129233.39806225,6129233.39806225
"126",6102529.35602072,6102529.35602072
"127",6072904.55313564,6072904.55313564
"128",6040837.7575676,6040837.7575676
"129",6006739.8651744,6006739.8651744
"130",5970963.42734463,5970963.42734463
"131",5933810.8422894,5933810.8422894
"132",5895541.39726917,5895541.39726917
"133",5856377.32293528,5856377.32293528
"134",5816508.9983572,5816508.9983572
"135",5776099.42586923,5776099.42586923
"136",5735288.07815943,5735288.07815943
"137",5694194.20565699,5694194.20565699
"138",5652919.67992235,5652919.67992235
"139",5611551.43812555,5611551.43812555
"140",5570163.58456873,5570163.58456873
"141",5528819.19735981,5528819.19735981
"142",5487571.88159623,5487571.88159623
"143",5446467.1046166,5446467.1046166
"144",5405543.34388998,5405543.34388998
"145",5364833.0738249,5364833.0738249
"146",5324363.61409339,5324363.61409339
"147",5284157.85889585,5284157.85889585
"148",5244234.90386801,5244234.90386801
"149",5204610.58498816,5204610.58498816
"150",5165297.94182902,5165297.94182902
"151",5126307.61576718,5126307.61576718
"152",5087648.19227409,5087648.19227409
"153",5049326.49513292,5049326.49513292
"154",5011347.83932532,5011347.83932532
"155",4973716.24838602,4973716.24838602
"156",4936434.64120993,4936434.64120993
"157",4899504.99259736,4899504.99259736
"158",4862928.47122156,4862928.47122156
"159",4826705.55818623,4826705.55818623
"160",4790836.14889628,4790836.14889628
"161",4755319.64058289,4755319.64058289
"162",4720155.00749593,4720155.00749593
"163",4685340.8654941,4685340.8654941
"164",4650875.52752048,4650875.52752048
"165",4616757.05124274,4616757.05124274
"166",4582983.2799574,4582983.2799574
"167",4549551.87770376,4549551.87770376
"168",4516460.35940007,4516460.35940007
"169",4483706.11670084,4483706.11670084
"170",4451286.44017592,4451286.44017592
"171",4419198.53832796,4419198.53832796
"172",4387439.55389204,4387439.55389204
"173",4356006.5777995,4356006.5777995
"174",4324896.66113382,4324896.66113382
"175",4294106.82536099,4294106.82536099
"176",4263634.07107669,4263634.07107669
"177",4233475.38547898,4233475.38547898
"178",4203627.74874569,4203627.74874569
"179",4174088.13947062,4174088.13947062
"180",4144853.53929114,4144853.53929114
"181",4115920.93682096,4115920.93682096
"182",4087287.33098617,4087287.33098617
"183",4058949.73384852,4058949.73384852
"184",4030905.17298856,4030905.17298856
"185",4003150.69351059,4003150.69351059
"186",3975683.35972318,3975683.35972318
"187",3948500.25654094,3948500.25654094
"188",3921598.49064735,3921598.49064735
"189",3894975.19145244,3894975.19145244
"190",3868627.51187452,3868627.51187452
"191",3842552.62897125,3842552.62897125
"192",3816747.74444134,3816747.74444134
"193",3791210.08501572,3791210.08501572
"194",3765936.90275391,3765936.90275391
